t l_Lp l_Lp_1 l_Lp_2 l_Lda l_Lda_1 l_Lda_2 l_awake l_asleep l_Lda_adv
1170.0 17.0 17.0 17.0 36.0 36.0 36.0 25.0 50.0 38.0
1185.0 17.0 17.0 17.0 36.0 36.0 36.0 25.0 50.0 39.0
1200.0 17.0 17.0 17.0 37.0 37.0 37.0 25.0 50.0 40.0
1215.0 17.0 17.0 17.0 37.0 37.0 37.0 25.0 50.0 40.0
1230.0 17.0 17.0 17.0 37.0 37.0 37.0 25.0 50.0 40.0
1245.0 17.0 17.0 17.0 38.0 38.0 38.0 25.0 50.0 40.0
1260.0 17.0 17.0 17.0 38.0 38.0 38.0 25.0 50.0 40.0
1275.0 17.0 17.0 17.0 39.0 39.0 39.0 25.0 50.0 41.0
1290.0 17.0 17.0 17.0 39.0 39.0 39.0 25.0 50.0 41.0
1305.0 17.0 17.0 17.0 39.0 39.0 39.0 25.0 50.0 41.0
1320.0 17.0 17.0 17.0 39.0 39.0 39.0 25.0 50.0 43.0
1335.0 17.0 17.0 17.0 39.0 39.0 39.0 25.0 50.0 45.0
1350.0 17.0 17.0 17.0 39.0 39.0 39.0 25.0 50.0 45.0
1365.0 17.0 17.0 17.0 40.0 40.0 40.0 25.0 50.0 46.0
1380.0 17.0 17.0 17.0 40.0 40.0 40.0 25.0 50.0 46.0
1395.0 17.0 17.0 17.0 40.0 40.0 40.0 25.0 50.0 46.0
1410.0 17.0 17.0 17.0 40.0 40.0 40.0 25.0 50.0 46.0
1425.0 17.0 17.0 17.0 40.0 40.0 40.0 25.0 50.0 47.0
1440.0 17.0 17.0 17.0 40.0 40.0 40.0 25.0 50.0 47.0
1455.0 17.0 17.0 17.0 40.0 40.0 40.0 25.0 50.0 47.0
1470.0 17.0 17.0 17.0 41.0 41.0 41.0 25.0 50.0 47.0
1485.0 17.0 17.0 17.0 41.0 41.0 41.0 25.0 50.0 47.0
1500.0 17.0 17.0 17.0 41.0 41.0 41.0 25.0 50.0 47.0
1515.0 17.0 17.0 17.0 41.0 41.0 41.0 25.0 50.0 47.0
1530.0 17.0 17.0 17.0 42.0 42.0 42.0 25.0 50.0 48.0
1545.0 17.0 17.0 17.0 42.0 42.0 42.0 25.0 50.0 48.0
1560.0 17.0 17.0 17.0 42.0 42.0 42.0 25.0 50.0 49.0
1575.0 17.0 17.0 17.0 42.0 42.0 42.0 25.0 50.0 49.0
1590.0 17.0 17.0 17.0 42.0 42.0 42.0 25.0 50.0 49.0
1605.0 17.0 17.0 17.0 44.0 44.0 44.0 25.0 50.0 50.0
1620.0 17.0 17.0 17.0 44.0 44.0 44.0 25.0 50.0 50.0
1635.0 17.0 17.0 17.0 44.0 44.0 44.0 25.0 50.0 51.0
1650.0 17.0 17.0 17.0 44.0 44.0 44.0 25.0 50.0 52.0
1665.0 17.0 17.0 17.0 44.0 44.0 44.0 25.0 50.0 52.0
1680.0 17.0 17.0 17.0 44.0 44.0 44.0 25.0 50.0 53.0
1695.0 17.0 17.0 17.0 45.0 45.0 45.0 25.0 50.0 54.0
1710.0 17.0 17.0 17.0 46.0 46.0 46.0 25.0 50.0 55.0
1725.0 17.0 17.0 17.0 46.0 46.0 46.0 25.0 50.0 56.0
1740.0 17.0 17.0 17.0 46.0 46.0 46.0 25.0 50.0 58.0
1755.0 17.0 17.0 17.0 47.0 47.0 47.0 25.0 50.0 60.0
1770.0 17.0 17.0 17.0 47.0 47.0 47.0 25.0 50.0 61.0
1785.0 17.0 17.0 17.0 47.0 47.0 47.0 25.0 50.0 61.0
1800.0 17.0 17.0 17.0 47.0 47.0 47.0 75.0 0.0 61.0
1815.0 17.0 17.0 17.0 49.0 49.0 49.0 75.0 0.0 61.0
1830.0 17.0 17.0 17.0 50.0 50.0 50.0 75.0 0.0 62.0
1845.0 17.0 17.0 17.0 50.0 50.0 50.0 75.0 0.0 62.0
1860.0 50.0 50.0 50.0 52.0 52.0 52.0 75.0 0.0 63.0
1875.0 51.0 51.0 51.0 54.0 54.0 54.0 75.0 0.0 63.0
1890.0 53.0 53.0 53.0 55.0 55.0 55.0 75.0 0.0 63.0
1905.0 54.0 54.0 54.0 56.0 56.0 56.0 75.0 0.0 64.0
1920.0 55.0 55.0 55.0 58.0 58.0 58.0 75.0 0.0 66.0
1935.0 57.0 57.0 57.0 60.0 60.0 60.0 75.0 0.0 66.0
1950.0 60.0 60.0 60.0 60.0 60.0 60.0 75.0 0.0 66.0
1965.0 60.0 60.0 60.0 64.0 64.0 64.0 75.0 0.0 68.0
1980.0 60.0 60.0 60.0 64.0 64.0 64.0 75.0 0.0 68.0
1995.0 60.0 60.0 60.0 66.0 66.0 66.0 75.0 0.0 68.0
2010.0 60.0 60.0 60.0 67.0 67.0 67.0 75.0 0.0 68.0
2025.0 60.0 60.0 60.0 67.0 67.0 67.0 75.0 0.0 69.0
2040.0 60.0 60.0 60.0 69.0 69.0 69.0 75.0 0.0 71.0
2055.0 67.0 67.0 67.0 70.0 70.0 70.0 75.0 0.0 71.0
2070.0 69.0 69.0 69.0 71.0 71.0 71.0 75.0 0.0 71.0
2085.0 69.0 69.0 69.0 73.0 73.0 73.0 75.0 0.0 74.0
2100.0 72.0 72.0 72.0 75.0 75.0 75.0 75.0 0.0 75.0
2115.0 72.0 72.0 72.0 76.0 76.0 76.0 75.0 0.0 76.0
2130.0 72.0 72.0 72.0 77.0 77.0 77.0 75.0 0.0 78.0
2145.0 76.0 76.0 76.0 79.0 79.0 79.0 75.0 0.0 79.0
2160.0 77.0 77.0 77.0 79.0 79.0 79.0 75.0 0.0 79.0
2175.0 77.0 77.0 77.0 79.0 79.0 79.0 75.0 0.0 79.0
2190.0 79.0 79.0 79.0 81.0 81.0 81.0 75.0 0.0 81.0
2205.0 79.0 79.0 79.0 82.0 82.0 82.0 75.0 0.0 82.0
2220.0 79.0 79.0 79.0 84.0 84.0 84.0 75.0 0.0 84.0
2235.0 79.0 79.0 79.0 86.0 86.0 86.0 75.0 0.0 87.0
2250.0 79.0 79.0 79.0 86.0 86.0 86.0 75.0 0.0 88.0
2265.0 79.0 79.0 79.0 86.0 86.0 86.0 75.0 0.0 89.0
2280.0 79.0 79.0 79.0 86.0 86.0 86.0 75.0 0.0 89.0
2295.0 79.0 79.0 79.0 86.0 86.0 86.0 75.0 0.0 89.0
2310.0 86.0 86.0 86.0 86.0 86.0 86.0 75.0 0.0 89.0
2325.0 86.0 86.0 86.0 86.0 86.0 86.0 75.0 0.0 90.0
2340.0 86.0 86.0 86.0 87.0 87.0 87.0 75.0 0.0 90.0
2355.0 86.0 86.0 86.0 87.0 87.0 87.0 75.0 0.0 91.0
2370.0 87.0 87.0 87.0 87.0 87.0 87.0 75.0 0.0 92.0
2385.0 87.0 87.0 87.0 90.0 90.0 90.0 75.0 0.0 92.0
2400.0 88.0 88.0 88.0 91.0 91.0 91.0 75.0 0.0 93.0
2415.0 90.0 90.0 90.0 94.0 94.0 94.0 75.0 0.0 94.0
2430.0 90.0 90.0 90.0 96.0 96.0 96.0 75.0 0.0 97.0
2445.0 90.0 90.0 90.0 98.0 98.0 98.0 75.0 0.0 99.0
2460.0 90.0 90.0 90.0 99.0 99.0 99.0 75.0 0.0 99.0
2475.0 98.0 98.0 98.0 100.0 100.0 100.0 75.0 0.0 100.0
2490.0 100.0 100.0 100.0 101.0 101.0 101.0 75.0 0.0 101.0
