t l_Lp l_Lp_A l_Lp_B l_Lda l_Lda_A l_Lda_B
600.0 17.0 17.0 17.0 20.0 20.0 20.0
615.0 17.0 17.0 17.0 20.0 22.0 20.0
630.0 17.0 17.0 17.0 21.0 22.0 21.0
645.0 17.0 17.0 17.0 21.0 22.0 21.0
660.0 17.0 17.0 17.0 22.0 24.0 22.0
675.0 17.0 17.0 17.0 22.0 24.0 22.0
690.0 17.0 17.0 17.0 22.0 24.0 22.0
705.0 17.0 17.0 17.0 22.0 26.0 22.0
720.0 17.0 17.0 17.0 24.0 26.0 24.0
735.0 17.0 17.0 17.0 25.0 27.0 25.0
750.0 17.0 17.0 17.0 25.0 28.0 25.0
765.0 17.0 17.0 17.0 26.0 30.0 26.0
780.0 17.0 17.0 17.0 26.0 31.0 26.0
795.0 17.0 17.0 17.0 28.0 32.0 28.0
810.0 17.0 17.0 17.0 28.0 32.0 28.0
825.0 17.0 17.0 17.0 28.0 33.0 28.0
840.0 17.0 17.0 17.0 29.0 34.0 29.0
855.0 17.0 17.0 17.0 29.0 35.0 29.0
870.0 17.0 17.0 17.0 29.0 37.0 29.0
885.0 17.0 17.0 17.0 30.0 37.0 30.0
900.0 17.0 17.0 17.0 31.0 38.0 31.0
915.0 17.0 17.0 17.0 31.0 39.0 31.0
930.0 17.0 17.0 17.0 31.0 41.0 31.0
945.0 17.0 17.0 17.0 33.0 42.0 33.0
960.0 17.0 17.0 17.0 33.0 42.0 33.0
975.0 17.0 17.0 17.0 33.0 42.0 33.0
990.0 17.0 17.0 17.0 34.0 43.0 34.0
1005.0 17.0 17.0 17.0 35.0 44.0 35.0
1020.0 17.0 17.0 17.0 35.0 44.0 35.0
1035.0 17.0 17.0 17.0 37.0 46.0 37.0
1050.0 17.0 17.0 17.0 37.0 46.0 37.0
1065.0 17.0 17.0 17.0 37.0 46.0 37.0
1080.0 17.0 17.0 17.0 37.0 46.0 37.0
1095.0 17.0 17.0 17.0 37.0 46.0 37.0
1110.0 17.0 17.0 17.0 37.0 47.0 37.0
1125.0 17.0 17.0 17.0 37.0 47.0 37.0
1140.0 17.0 17.0 17.0 38.0 47.0 38.0
1155.0 17.0 17.0 17.0 38.0 47.0 38.0
1170.0 17.0 17.0 17.0 38.0 47.0 38.0
1185.0 17.0 17.0 17.0 41.0 47.0 41.0
1200.0 17.0 17.0 17.0 48.0 48.0 48.0
