t l_Lp l_Lp_A l_Lp_B l_Lda l_Lda_A l_Lda_B
0.0 0.0 0.0 0.0 0.0 0.0 0.0
15.0 0.0 0.0 0.0 0.0 0.0 0.0
30.0 0.0 0.0 0.0 0.0 0.0 0.0
45.0 0.0 0.0 0.0 0.0 0.0 0.0
60.0 0.0 0.0 0.0 0.0 0.0 0.0
75.0 0.0 0.0 0.0 0.0 0.0 0.0
90.0 0.0 0.0 0.0 0.0 0.0 0.0
105.0 0.0 0.0 0.0 0.0 0.0 0.0
120.0 0.0 0.0 0.0 0.0 0.0 0.0
135.0 0.0 0.0 0.0 0.0 0.0 0.0
150.0 0.0 0.0 0.0 0.0 0.0 0.0
165.0 0.0 0.0 0.0 0.0 0.0 0.0
180.0 0.0 0.0 0.0 0.0 0.0 0.0
195.0 0.0 0.0 0.0 0.0 0.0 0.0
210.0 0.0 0.0 0.0 0.0 0.0 0.0
225.0 0.0 0.0 0.0 0.0 0.0 0.0
240.0 0.0 0.0 0.0 0.0 0.0 0.0
255.0 0.0 0.0 0.0 0.0 0.0 0.0
270.0 0.0 0.0 0.0 0.0 0.0 0.0
285.0 0.0 0.0 0.0 1.0 1.0 1.0
300.0 1.0 1.0 1.0 1.0 1.0 1.0
315.0 1.0 1.0 1.0 1.0 1.0 1.0
330.0 1.0 1.0 1.0 4.0 4.0 4.0
345.0 1.0 1.0 1.0 7.0 7.0 7.0
360.0 1.0 1.0 1.0 7.0 7.0 7.0
375.0 1.0 1.0 1.0 7.0 7.0 7.0
390.0 1.0 1.0 1.0 8.0 8.0 8.0
405.0 1.0 1.0 1.0 8.0 8.0 8.0
420.0 1.0 1.0 1.0 10.0 10.0 10.0
435.0 1.0 1.0 1.0 11.0 11.0 11.0
450.0 1.0 1.0 1.0 11.0 11.0 11.0
465.0 1.0 1.0 1.0 11.0 11.0 11.0
480.0 1.0 1.0 1.0 12.0 12.0 12.0
495.0 1.0 1.0 1.0 12.0 12.0 12.0
510.0 1.0 1.0 1.0 13.0 13.0 13.0
525.0 1.0 1.0 1.0 14.0 14.0 14.0
540.0 1.0 1.0 1.0 14.0 14.0 14.0
555.0 14.0 14.0 14.0 16.0 16.0 16.0
570.0 14.0 14.0 14.0 17.0 17.0 17.0
585.0 14.0 14.0 14.0 17.0 17.0 17.0
600.0 17.0 17.0 17.0 20.0 20.0 20.0
