t l_Lp l_Lp_A l_Lp_B l_Lda l_Lda_A l_Lda_B
1200.0 17.0 17.0 17.0 48.0 48.0 48.0
1215.0 17.0 17.0 17.0 50.0 50.0 50.0
1230.0 17.0 17.0 17.0 51.0 51.0 51.0
1245.0 17.0 17.0 17.0 52.0 52.0 52.0
1260.0 17.0 17.0 17.0 53.0 53.0 53.0
1275.0 17.0 17.0 17.0 54.0 54.0 54.0
1290.0 54.0 54.0 54.0 55.0 55.0 55.0
1305.0 54.0 54.0 54.0 56.0 56.0 56.0
1320.0 55.0 55.0 55.0 56.0 56.0 56.0
1335.0 56.0 56.0 56.0 56.0 56.0 56.0
1350.0 56.0 56.0 56.0 56.0 56.0 56.0
1365.0 56.0 56.0 56.0 57.0 57.0 57.0
1380.0 57.0 57.0 57.0 58.0 58.0 58.0
1395.0 57.0 57.0 57.0 59.0 59.0 59.0
1410.0 57.0 57.0 57.0 61.0 61.0 61.0
1425.0 57.0 57.0 57.0 62.0 62.0 62.0
1440.0 57.0 57.0 57.0 63.0 63.0 63.0
1455.0 57.0 57.0 57.0 63.0 63.0 63.0
1470.0 57.0 57.0 57.0 65.0 65.0 65.0
1485.0 65.0 65.0 65.0 67.0 67.0 67.0
1500.0 67.0 67.0 67.0 68.0 68.0 68.0
1515.0 67.0 67.0 67.0 68.0 68.0 68.0
1530.0 67.0 67.0 67.0 69.0 69.0 69.0
1545.0 67.0 67.0 67.0 70.0 70.0 70.0
1560.0 67.0 67.0 67.0 70.0 70.0 70.0
1575.0 67.0 67.0 67.0 70.0 70.0 70.0
1590.0 67.0 67.0 67.0 71.0 71.0 71.0
1605.0 67.0 67.0 67.0 74.0 74.0 74.0
1620.0 67.0 67.0 67.0 75.0 75.0 75.0
1635.0 67.0 67.0 67.0 75.0 75.0 75.0
1650.0 67.0 67.0 67.0 77.0 77.0 77.0
1665.0 67.0 67.0 67.0 78.0 78.0 78.0
1680.0 67.0 67.0 67.0 80.0 80.0 80.0
1695.0 67.0 67.0 67.0 82.0 82.0 82.0
1710.0 67.0 67.0 67.0 84.0 84.0 84.0
1725.0 67.0 67.0 67.0 84.0 84.0 84.0
1740.0 67.0 67.0 67.0 84.0 84.0 84.0
1755.0 84.0 84.0 84.0 85.0 85.0 85.0
1770.0 84.0 84.0 84.0 86.0 86.0 86.0
1785.0 85.0 85.0 85.0 87.0 87.0 87.0
1800.0 86.0 86.0 86.0 89.0 89.0 89.0
