t l_Lp l_Lp_A l_Lp_B l_Lda l_Lda_A l_Lda_B
2700.0 86.0 86.0 86.0 135.0 135.0 135.0
2715.0 86.0 86.0 86.0 135.0 135.0 135.0
2730.0 135.0 135.0 135.0 137.0 137.0 137.0
2745.0 136.0 136.0 136.0 137.0 137.0 137.0
2760.0 137.0 137.0 137.0 138.0 138.0 138.0
2775.0 137.0 137.0 137.0 140.0 140.0 140.0
2790.0 138.0 138.0 138.0 143.0 143.0 143.0
2805.0 138.0 138.0 138.0 144.0 144.0 144.0
2820.0 143.0 143.0 143.0 147.0 147.0 147.0
2835.0 144.0 144.0 144.0 147.0 147.0 147.0
2850.0 147.0 147.0 147.0 148.0 148.0 148.0
2865.0 147.0 147.0 147.0 149.0 149.0 149.0
2880.0 147.0 147.0 147.0 152.0 152.0 152.0
2895.0 147.0 147.0 147.0 152.0 152.0 152.0
2910.0 147.0 147.0 147.0 152.0 152.0 152.0
2925.0 152.0 152.0 152.0 153.0 153.0 153.0
2940.0 152.0 152.0 152.0 153.0 153.0 153.0
2955.0 152.0 152.0 152.0 154.0 154.0 154.0
2970.0 154.0 154.0 154.0 154.0 154.0 154.0
2985.0 154.0 154.0 154.0 155.0 155.0 155.0
3000.0 155.0 155.0 155.0 156.0 156.0 156.0
3015.0 155.0 155.0 155.0 157.0 157.0 157.0
3030.0 156.0 156.0 156.0 160.0 160.0 160.0
3045.0 156.0 156.0 156.0 162.0 162.0 162.0
3060.0 156.0 156.0 156.0 164.0 164.0 164.0
3075.0 156.0 156.0 156.0 165.0 165.0 165.0
3090.0 165.0 165.0 165.0 165.0 165.0 165.0
3105.0 165.0 165.0 165.0 167.0 167.0 167.0
3120.0 165.0 165.0 165.0 167.0 167.0 167.0
3135.0 167.0 167.0 167.0 169.0 169.0 169.0
3150.0 167.0 167.0 167.0 170.0 170.0 170.0
3165.0 167.0 167.0 167.0 171.0 171.0 171.0
3180.0 170.0 170.0 170.0 174.0 174.0 174.0
3195.0 172.0 172.0 172.0 175.0 175.0 175.0
3210.0 175.0 175.0 175.0 175.0 175.0 175.0
3225.0 175.0 175.0 175.0 176.0 176.0 176.0
3240.0 175.0 175.0 175.0 178.0 178.0 178.0
3255.0 177.0 177.0 177.0 179.0 179.0 179.0
3270.0 179.0 179.0 179.0 179.0 179.0 179.0
3285.0 179.0 179.0 179.0 184.0 184.0 184.0
3300.0 179.0 179.0 179.0 185.0 185.0 185.0
3315.0 179.0 179.0 179.0 187.0 187.0 187.0
3330.0 185.0 185.0 185.0 189.0 189.0 189.0
3345.0 185.0 185.0 185.0 190.0 190.0 190.0
3360.0 189.0 189.0 189.0 190.0 190.0 190.0
3375.0 190.0 190.0 190.0 190.0 190.0 190.0
3390.0 190.0 190.0 190.0 193.0 193.0 193.0
3405.0 190.0 190.0 190.0 194.0 194.0 194.0
3420.0 190.0 190.0 190.0 194.0 194.0 194.0
3435.0 190.0 190.0 190.0 196.0 196.0 196.0
3450.0 190.0 190.0 190.0 197.0 197.0 197.0
3465.0 190.0 190.0 190.0 198.0 198.0 198.0
3480.0 197.0 197.0 197.0 199.0 199.0 199.0
3495.0 197.0 197.0 197.0 200.0 200.0 200.0
3510.0 197.0 197.0 197.0 201.0 201.0 201.0
3525.0 197.0 197.0 197.0 201.0 201.0 201.0
3540.0 201.0 201.0 201.0 201.0 201.0 201.0
3555.0 201.0 201.0 201.0 202.0 202.0 202.0
3570.0 201.0 201.0 201.0 203.0 203.0 203.0
3585.0 202.0 202.0 202.0 204.0 204.0 204.0
